"Timestamp","Paste your wallet address below"
"2024/06/20 4:55:33 PM GMT+1","AbcTest"
"2024/06/26 4:45:11 PM GMT+1","eur"
"2024/06/26 4:45:52 PM GMT+1","0xAD357101834Dc0F1A419Cf1bf7Ce54B1c7B89c16"
"2024/06/27 6:56:58 PM GMT+1","0x7BC78d674bc75426BF3eB21170067fA70cEbEEc5"
"2024/06/27 7:28:42 PM GMT+1","0xfCfb5e9d243c862AE7dA3C2f1C10636277728644"
"2024/06/27 7:33:09 PM GMT+1","0x85541099879B46A6E58580c1E14CEce9Aa0dE8fD"
"2024/06/27 7:33:12 PM GMT+1","0x420Be80dCe6566d7418095e79571556ff3377728"
"2024/06/27 7:33:27 PM GMT+1","0x01f82da54d0a5f9beCecc7CA94308aEE59e0Aff3"
"2024/06/27 7:33:38 PM GMT+1","0x3F9FB974A85DF12B21103FBAF75F3d695b1d0263"
"2024/06/27 7:33:40 PM GMT+1","0xf0a8a859349fBC6555762a7f1111FCAc4d72cB5B"
"2024/06/27 7:33:41 PM GMT+1","0xF7312616f5b6c839aaDa2F88AAB7304C56C31AfA"
"2024/06/27 7:33:51 PM GMT+1","0x78f61fE7226b230e74b8c1495c3bfb0D6a87350B"
"2024/06/27 7:33:59 PM GMT+1","0x420Be80dCe6566d7418095e79571556ff3377728"
"2024/06/27 7:34:08 PM GMT+1","0x3C244D90c9a25f8a67b81CBBf97f27e2cc8C1ae5"
"2024/06/27 7:34:12 PM GMT+1","0xCDCb5893DBfb052B23B074284a0f9d9E79A48BBE"
"2024/06/27 7:34:16 PM GMT+1","0x5c9589943e3f8596c6906317671f35dDd618D07C"
"2024/06/27 7:34:44 PM GMT+1","0x2fcA3909383B6C2eD41Bd0B81F2dEd80F5E2aa43"
"2024/06/27 7:34:45 PM GMT+1","0xD8873f229d4CaEABfea4de91A09b3096330C1748"
"2024/06/27 7:34:51 PM GMT+1","0xEc28D66cF144C2fa7b25A4eB2bff3EC178c98794"
"2024/06/27 7:35:05 PM GMT+1","0x9a25FedDde1F7424b778941eFfbFE7b3f85d7f5D"
"2024/06/27 7:35:15 PM GMT+1","0x4C7b526a078556211Fe30811523B0c17aA6D2796"
"2024/06/27 7:35:22 PM GMT+1","0x0eF61626449e4C3430cfE7f06A6405d26b3b021c"
"2024/06/27 7:35:52 PM GMT+1","0x979dB7a8Ec0c07f9A41117e277C8fe79672aBC78"
"2024/06/27 7:36:05 PM GMT+1","0xdd4a9A296c32ae5E881768f1B3aA8F2c63677baC"
"2024/06/27 7:36:19 PM GMT+1","0xC70276968bcf4ee5eb28CbC437Ef19f0a4c6C68D"
"2024/06/27 7:36:24 PM GMT+1","0x1BB38baC1D3C69983C93625e0A7D03633b7989ad"
"2024/06/27 7:36:34 PM GMT+1","0xda6ECF9B74704a61397927E9b74063eE965DD6Be"
